200 1000
140 24 -20
177 165 -186
45 27 -164
29 184 55
188 57 -136
99 79 -85
193 35 197
76 0 -137
112 195 131
195 117 -168
151 29 24
111 161 -25
71 17 62
121 174 140
22 18 -108
65 174 -141
21 193 -78
115 156 -83
134 22 -39
55 115 -166
18 17 136
89 147 16
173 191 -144
166 32 86
119 47 -11
190 119 70
111 78 -108
133 86 144
124 111 -18
150 29 90
187 72 -89
17 14 -182
103 155 197
152 157 -104
35 95 94
122 167 -67
12 128 72
51 185 -90
68 122 -33
83 171 140
66 95 -144
178 60 126
48 86 30
46 112 148
160 86 16
76 71 -137
44 81 187
119 195 -42
61 130 129
144 56 33
128 26 -105
23 194 -99
167 81 -105
108 62 -68
130 118 8
61 169 -197
14 189 6
160 20 -28
19 123 140
165 173 -70
100 133 -59
72 142 35
171 154 -76
138 189 -64
128 32 18
27 145 26
132 1 7
55 49 83
176 195 45
98 130 -181
160 17 -17
85 60 -157
4 148 -173
13 40 160
81 164 77
56 184 -45
128 107 -94
141 120 -107
160 24 172
140 45 -21
170 167 -197
165 190 -30
67 133 -186
110 155 -117
126 103 32
131 50 -55
151 12 -41
81 18 -15
34 59 112
20 90 -76
26 146 -165
82 171 69
163 160 -122
52 91 88
60 156 -4
3 92 98
188 160 -155
160 126 -140
196 194 -131
162 166 12
194 178 91
176 36 -89
130 146 -101
5 109 117
179 11 -160
138 87 157
196 52 110
3 160 159
61 110 46
67 187 -61
123 102 -103
119 185 -33
154 147 -89
162 137 -93
10 111 -144
185 86 118
1 174 156
36 17 -47
118 80 176
156 37 3
188 55 -77
80 111 -94
110 21 -86
66 33 59
156 89 -114
107 52 77
11 22 -84
11 87 -133
52 69 128
187 146 -102
133 99 -52
186 84 13
99 139 -4
39 173 180
48 188 170
92 1 -187
68 108 -169
106 103 -165
144 88 165
27 0 19
188 21 -189
194 16 199
172 18 76
56 99 -127
4 108 -59
73 70 -52
153 18 70
21 74 -26
43 67 -141
87 116 -118
184 149 -72
88 179 -186
152 57 160
111 47 35
146 184 -173
111 74 -20
99 97 77
168 80 44
42 25 -53
77 148 -65
95 129 161
149 20 24
143 173 18
111 126 -87
156 119 90
0 184 -144
45 131 20
89 79 -90
111 100 -59
34 157 -43
187 177 118
152 77 131
18 33 -87
137 144 -199
99 194 145
174 149 -12
120 151 133
79 196 -152
144 191 -199
158 135 10
189 110 28
168 91 49
68 40 -187
112 68 37
97 141 -181
30 144 197
31 26 -80
56 145 -9
75 93 -120
176 72 114
125 116 -111
31 69 -22
115 56 -189
149 78 37
1 77 -132
37 98 3
162 95 39
3 25 91
128 117 91
117 5 -194
7 37 -80
129 61 17
192 93 -27
102 119 -33
164 169 7
187 107 151
168 49 -136
63 148 -134
193 164 -173
38 58 -51
147 189 79
21 177 -185
73 17 -168
54 87 -144
88 133 -196
57 137 27
179 132 72
87 109 142
21 147 -83
50 18 -113
134 120 87
52 118 -131
130 115 146
163 21 137
7 108 56
158 191 -91
70 141 112
104 20 -120
36 168 -63
54 26 112
98 19 -178
1 91 -91
191 103 191
24 176 -122
112 62 184
20 152 105
164 156 192
158 166 -142
5 16 169
37 3 -137
108 81 -109
47 130 63
195 31 -62
76 191 144
110 168 -21
36 45 -110
29 50 -151
136 15 -7
195 160 12
187 70 191
105 110 -173
176 43 102
80 120 -93
44 80 98
190 172 -105
129 181 -154
80 175 -26
68 116 151
184 66 0
87 60 27
45 53 -84
30 89 140
147 85 -16
147 75 35
16 196 87
19 173 -105
79 163 1
36 197 142
75 122 72
64 24 160
9 78 -66
127 172 188
11 88 -163
144 183 129
176 68 -38
2 187 188
20 137 71
98 16 25
150 194 -74
80 57 138
73 165 168
47 148 8
137 128 -5
105 164 93
7 3 25
143 182 -197
147 100 -188
70 134 -115
110 100 -27
49 194 155
125 3 153
96 136 -150
177 123 -182
3 192 158
167 79 152
134 28 102
81 109 -130
41 53 35
99 83 -45
31 61 -130
88 44 171
15 77 178
30 60 35
137 178 91
199 159 155
27 1 -143
5 117 -35
108 11 30
198 7 155
109 58 145
174 186 5
127 159 -157
120 78 -164
83 169 170
93 102 160
111 98 127
112 29 178
23 126 -143
185 137 80
114 65 -100
192 24 -74
20 147 152
42 75 -82
139 181 30
100 163 -137
154 65 -149
107 177 -46
156 18 -24
166 144 -136
149 76 42
154 29 131
82 140 -93
137 10 76
55 50 -60
115 135 -62
5 63 -78
75 83 -175
64 111 104
183 100 -153
170 193 166
70 170 -197
54 187 45
167 83 16
96 153 -4
76 36 137
57 195 -138
105 112 -186
106 136 -175
0 128 -159
28 57 -196
1 5 190
82 43 182
126 16 82
113 144 118
150 161 -2
118 105 -172
129 154 -84
166 157 150
131 188 106
88 32 126
6 63 141
117 155 -24
45 124 182
135 101 171
81 27 198
195 172 -96
153 91 -50
146 52 108
16 176 58
45 57 188
187 93 135
175 92 35
109 160 27
131 77 150
36 92 -105
150 125 -158
9 149 -178
169 60 131
37 150 -191
175 82 119
141 38 -85
43 56 -88
136 139 -77
0 173 -132
138 83 -83
88 178 -109
121 178 -17
117 74 82
67 23 49
95 101 86
107 74 21
47 45 5
91 81 -119
55 93 -34
5 23 68
197 122 108
196 158 165
88 171 -15
75 145 38
194 124 136
5 136 -122
84 167 -65
50 15 -60
51 70 -45
84 8 -20
108 179 46
188 14 -178
65 50 189
169 86 -195
139 39 -130
133 132 -132
106 14 194
83 117 66
179 21 188
87 68 -104
109 81 -47
68 42 142
77 166 23
72 139 -1
96 22 133
154 98 180
37 40 -175
198 180 -6
3 172 -185
170 65 184
157 73 -50
134 188 116
113 102 -128
149 61 61
39 105 128
109 166 -191
161 21 156
188 104 73
179 67 35
92 179 -115
14 29 146
143 106 -58
147 14 -6
174 35 -140
22 49 -20
194 115 -37
178 72 166
32 77 -49
68 70 76
9 32 -63
25 11 181
171 24 -82
1 26 71
42 91 -42
76 64 165
